Timestamp,Temperature (°C),Temperature (°F),Image Filename
11-30-2024 11:56AM,20.40,68.72,Pictures/11-30-2024-11:56AM.jpg
11-30-2024 11:58AM,20.40,68.72,Pictures/11-30-2024-11:58AM.jpg
11-30-2024 12:03PM,20.40,68.72,Pictures/11-30-2024-12:03PM.jpg
11-30-2024 12:08PM,20.40,68.72,Pictures/11-30-2024-12:08PM.jpg
11-30-2024 12:13PM,20.40,68.72,Pictures/11-30-2024-12:13PM.jpg
11-30-2024 12:18PM,20.40,68.72,Pictures/11-30-2024-12:18PM.jpg
11-30-2024 12:23PM,20.40,68.72,Pictures/11-30-2024-12:23PM.jpg
11-30-2024 12:28PM,20.40,68.72,Pictures/11-30-2024-12:28PM.jpg
11-30-2024 12:34PM,20.40,68.72,Pictures/11-30-2024-12:34PM.jpg
11-30-2024 12:39PM,20.40,68.72,Pictures/11-30-2024-12:39PM.jpg
11-30-2024 12:44PM,20.40,68.72,Pictures/11-30-2024-12:44PM.jpg
11-30-2024 12:49PM,20.40,68.72,Pictures/11-30-2024-12:49PM.jpg
11-30-2024 12:54PM,20.40,68.72,Pictures/11-30-2024-12:54PM.jpg
11-30-2024 12:59PM,20.40,68.72,Pictures/11-30-2024-12:59PM.jpg
11-30-2024 01:04PM,20.40,68.72,Pictures/11-30-2024-01:04PM.jpg
11-30-2024 01:09PM,20.40,68.72,Pictures/11-30-2024-01:09PM.jpg
11-30-2024 01:14PM,20.40,68.72,Pictures/11-30-2024-01:14PM.jpg
11-30-2024 01:19PM,20.40,68.72,Pictures/11-30-2024-01:19PM.jpg
11-30-2024 01:24PM,20.40,68.72,Pictures/11-30-2024-01:24PM.jpg
11-30-2024 01:29PM,20.40,68.72,Pictures/11-30-2024-01:29PM.jpg
11-30-2024 01:34PM,20.40,68.72,Pictures/11-30-2024-01:34PM.jpg
11-30-2024 01:39PM,20.40,68.72,Pictures/11-30-2024-01:39PM.jpg
11-30-2024 01:44PM,20.40,68.72,Pictures/11-30-2024-01:44PM.jpg
11-30-2024 01:49PM,20.40,68.72,Pictures/11-30-2024-01:49PM.jpg
11-30-2024 01:54PM,20.40,68.72,Pictures/11-30-2024-01:54PM.jpg
11-30-2024 01:59PM,20.40,68.72,Pictures/11-30-2024-01:59PM.jpg
11-30-2024 02:04PM,20.40,68.72,Pictures/11-30-2024-02:04PM.jpg
11-30-2024 02:09PM,20.40,68.72,Pictures/11-30-2024-02:09PM.jpg
11-30-2024 02:14PM,20.40,68.72,Pictures/11-30-2024-02:14PM.jpg
11-30-2024 02:19PM,20.40,68.72,Pictures/11-30-2024-02:19PM.jpg
11-30-2024 02:24PM,20.40,68.72,Pictures/11-30-2024-02:24PM.jpg
11-30-2024 02:29PM,20.40,68.72,Pictures/11-30-2024-02:29PM.jpg
11-30-2024 02:34PM,20.40,68.72,Pictures/11-30-2024-02:34PM.jpg
11-30-2024 02:39PM,20.40,68.72,Pictures/11-30-2024-02:39PM.jpg
11-30-2024 02:44PM,20.40,68.72,Pictures/11-30-2024-02:44PM.jpg
11-30-2024 02:49PM,20.40,68.72,Pictures/11-30-2024-02:49PM.jpg
11-30-2024 02:54PM,20.40,68.72,Pictures/11-30-2024-02:54PM.jpg
11-30-2024 02:59PM,20.40,68.72,Pictures/11-30-2024-02:59PM.jpg
11-30-2024 03:04PM,20.40,68.72,Pictures/11-30-2024-03:04PM.jpg
11-30-2024 03:09PM,20.40,68.72,Pictures/11-30-2024-03:09PM.jpg
11-30-2024 03:14PM,20.40,68.72,Pictures/11-30-2024-03:14PM.jpg
